symbol,price,timestamp
ARCTM,27.99,2026-05-18T00:14:22.682602
ARM,27.9,2026-05-18T00:14:22.706606
ARM,27.9,2026-05-18T00:14:22.710620
ARMG,50.0,2026-05-18T00:14:22.733609
ARMG,50.0,2026-05-18T00:14:22.749610
ARPAK,111.22,2026-05-18T00:14:22.770615
ARPAK,111.22,2026-05-18T00:14:22.782621
ARPL,393.32,2026-05-18T00:14:22.797618
ARPL,393.32,2026-05-18T00:14:22.820658
ASCR1,6.28,2026-05-18T00:14:22.857620
ASCR1,6.28,2026-05-18T00:14:22.865621
ASHT,34.9,2026-05-18T00:14:22.873624
ASHT,34.9,2026-05-18T00:14:22.885630
ASIC,30.56,2026-05-18T00:14:22.890625
ASIC,30.56,2026-05-18T00:14:22.905627
ASL,12.24,2026-05-18T00:14:22.912629
ASL,12.24,2026-05-18T00:14:22.923629
ASRL,99.0,2026-05-18T00:14:22.951634
ASRL,99.0,2026-05-18T00:14:22.964632
ASTL,16.38,2026-05-18T00:14:22.972633
ASTL,16.38,2026-05-18T00:14:22.982636
ASTM,19.36,2026-05-18T00:14:22.990644
ASTM,19.36,2026-05-18T00:14:23.003642
ATBA,226.55,2026-05-18T00:14:23.004639
ATBA,226.55,2026-05-18T00:14:23.021643
ATIL,72.5,2026-05-18T00:14:23.025643
ATIL,72.5,2026-05-18T00:14:23.039640
ATLH,1764.13,2026-05-18T00:14:23.042645
ATLH,1764.13,2026-05-18T00:14:23.060648
ATRL,890.79,2026-05-18T00:14:23.059645
ATRL,890.79,2026-05-18T00:14:23.081645
AWTX,1552.05,2026-05-18T00:14:23.094649
AWTX,1552.05,2026-05-18T00:14:23.106653
AWWAL,10.0,2026-05-18T00:14:23.112647
AWWAL,10.0,2026-05-18T00:14:23.126652
AYTM,200.0,2026-05-18T00:14:23.135658
AYTM,200.0,2026-05-18T00:14:23.155659
AYZT,0.2,2026-05-18T00:14:23.154665
AYZT,0.2,2026-05-18T00:14:23.179659
AZTM,0.26,2026-05-18T00:14:23.191661
AZTM,0.26,2026-05-18T00:14:23.212661
BAFS,262.7,2026-05-18T00:14:23.257665
BAFS,262.7,2026-05-18T00:14:23.273674
BAHL,160.55,2026-05-18T00:14:23.280667
BAHL,160.55,2026-05-18T00:14:23.295672
BAPL,33.01,2026-05-18T00:14:23.332676
BAPL,33.01,2026-05-18T00:14:23.346676
BATA,984.86,2026-05-18T00:14:23.356677
BATA,984.86,2026-05-18T00:14:23.368682
BBFL,44.17,2026-05-18T00:14:23.380683
BBFL,44.17,2026-05-18T00:14:23.392685
BCL,71.9,2026-05-18T00:14:23.405686
BCL,71.9,2026-05-18T00:14:23.417684
BCML,42.6,2026-05-18T00:14:23.433690
BCML,42.6,2026-05-18T00:14:23.448688
BECO,5.49,2026-05-18T00:14:23.449691
BECO,5.49,2026-05-18T00:14:23.478690
BEEM,2.3,2026-05-18T00:14:23.473690
BEEM,2.3,2026-05-18T00:14:23.496697
BERG,93.99,2026-05-18T00:14:23.522700
BERG,93.99,2026-05-18T00:14:23.533704
BFAGRO,32.6,2026-05-18T00:14:23.545699
BFAGRO,32.6,2026-05-18T00:14:23.563701
BFBIO,133.85,2026-05-18T00:14:23.564700
BFBIO,133.85,2026-05-18T00:14:23.592712
BFMOD,21.33,2026-05-18T00:14:23.587707
BFMOD,21.33,2026-05-18T00:14:23.613706
BGL,10.37,2026-05-18T00:14:23.614711
BGL,10.37,2026-05-18T00:14:23.644712
BHAT,845.03,2026-05-18T00:14:23.642710
BHAT,845.03,2026-05-18T00:14:23.671721
UBL,379.5,2026-05-18T00:14:59.700069
UBL,379.5,2026-05-18T00:15:01.753554
UBL,379.5,2026-05-18T00:15:04.313758
UBL,379.5,2026-05-18T00:15:06.546362
UBL,379.5,2026-05-18T00:15:10.333702
UBL,379.5,2026-05-18T00:15:12.139890
UBL,379.5,2026-05-18T00:15:14.982695
UBL,379.5,2026-05-18T00:15:15.888421
UBL,379.5,2026-05-18T00:15:16.772856
UBL,379.5,2026-05-18T00:15:45.799427
ENGRO,485.38,2026-05-18T00:15:20.782863
HBL,274.85,2026-05-18T00:15:33.154830
HBL,274.85,2026-05-18T00:15:33.989106
HBL,274.85,2026-05-18T00:15:34.672439
HBL,274.85,2026-05-18T00:15:35.332745
HBL,274.85,2026-05-18T00:15:36.008679
HBL,274.85,2026-05-18T00:15:36.673989
HBL,274.85,2026-05-18T00:15:37.360724
HBL,274.85,2026-05-18T00:15:38.029624
HBL,274.85,2026-05-18T00:15:38.874682
HBL,274.85,2026-05-18T00:15:39.644309
HBL,274.85,2026-05-18T00:15:40.703233
HBL,274.85,2026-05-18T00:15:42.053528
HBL,274.85,2026-05-18T00:15:49.336308
HUBC,118.50,2026-05-18T10:00:00.4895839
HUBC,119.20,2026-05-18T10:05:00.8745982
HUBC,120.10,2026-05-18T10:10:00.8379458
HUBC,119.80,2026-05-18T10:15:00.8479533
HUBC,121.00,2026-05-18T10:20:00.8374987
