date,open,high,low,close,volume,is_anomaly,symbol
2018-11-09,140.0,142.0,139.0,140.08,1455500,False,UBL
2018-11-08,146.99,146.99,140.15,141.31,941900,False,UBL
2018-11-07,147.95,150.0,146.05,147.5,1004100,False,UBL
2018-11-06,145.51,149.9,142.0,145.35,1422900,False,UBL
2018-11-05,151.0,151.1,147.0,148.44,621500,False,UBL
2018-11-02,147.55,154.48,145.0,151.2,2230900,False,UBL
2018-11-01,148.0,149.65,146.3,147.46,867600,False,UBL
2018-10-31,150.0,151.89,147.1,149.88,1572400,False,UBL
2018-10-30,150.97,152.7,149.0,151.44,3593700,False,UBL
2018-10-29,145.52,151.24,145.52,150.55,3103200,False,UBL
2018-10-26,138.25,145.0,138.1,144.04,5413800,False,UBL
2018-10-25,143.6,145.5,138.0,141.66,4673700,False,UBL
2018-10-24,140.0,142.83,139.0,142.83,4291200,False,UBL
2018-10-23,138.0,138.0,134.02,136.03,671800,False,UBL
2018-10-22,139.49,141.89,137.5,138.1,1356600,False,UBL
2018-10-19,135.1,139.99,134.5,139.14,2760600,False,UBL
2018-10-18,136.1,139.0,134.51,137.57,2579000,False,UBL
2018-10-17,134.99,138.95,133.55,136.94,2672200,False,UBL
2018-10-16,136.25,140.0,132.2,133.03,1275000,False,UBL
2018-10-15,139.78,139.78,133.02,136.88,2241600,False,UBL
2018-10-12,138.99,139.25,132.75,136.93,3368800,False,UBL
2018-10-11,140.02,142.5,139.0,139.58,2904700,False,UBL
2018-10-10,139.54,143.89,138.0,141.73,3443100,False,UBL
2018-10-09,138.0,142.5,135.0,137.79,5389200,False,UBL
2018-10-08,145.0,145.0,137.74,137.74,4057600,False,UBL
2018-10-05,151.0,151.0,144.3,144.98,1318400,False,UBL
2018-10-04,150.78,152.0,148.98,150.44,513600,False,UBL
2018-10-03,151.01,151.45,150.12,150.78,226000,False,UBL
2018-10-02,153.75,153.75,151.3,151.58,204200,False,UBL
2018-10-01,154.95,155.0,153.05,153.46,306400,False,UBL
2018-09-28,155.8,155.8,153.1,154.0,3359800,False,UBL
2018-09-27,154.5,156.89,153.25,153.97,805600,False,UBL
2018-09-26,153.05,155.99,151.56,154.79,961800,False,UBL
2018-09-25,154.4,155.0,153.25,153.47,974600,False,UBL
2018-09-24,153.75,156.0,153.12,153.87,1323500,False,UBL
2018-09-19,154.5,155.0,153.0,154.1,714500,False,UBL
2018-09-18,152.5,156.95,151.0,154.05,983100,False,UBL
2018-09-17,152.05,153.5,149.9,151.51,476300,False,UBL
2018-09-14,157.0,157.0,152.55,154.61,1130800,False,UBL
2018-09-13,154.99,157.0,152.99,156.21,706800,False,UBL
2018-09-12,157.0,157.0,153.7,154.0,484700,False,UBL
2018-09-11,158.5,158.5,155.5,156.34,869500,False,UBL
2018-09-10,161.0,161.0,156.01,157.14,169600,False,UBL
2018-09-07,160.0,160.0,157.25,157.91,252200,False,UBL
2018-09-06,158.0,162.6,157.56,160.52,1044500,False,UBL
2018-09-05,158.0,159.89,156.9,158.17,2564500,False,UBL
2018-09-04,159.0,160.49,156.05,157.65,522500,False,UBL
2018-09-03,158.2,159.25,157.05,158.2,473200,False,UBL
2018-08-31,160.0,160.0,157.3,158.03,1215600,False,UBL
2018-08-30,159.98,160.0,159.1,159.64,258200,False,UBL
2018-08-29,162.45,162.45,158.01,159.99,603300,False,UBL
2018-08-28,162.98,163.89,161.26,162.02,516000,False,UBL
2018-08-27,163.0,165.0,162.5,162.98,671500,False,UBL
2018-08-24,160.3,163.9,160.3,162.56,151100,False,UBL
2018-08-20,165.0,166.0,161.5,162.08,464900,False,UBL
2018-08-17,161.5,164.4,161.49,163.77,495900,False,UBL
2018-08-16,161.2,161.9,159.0,160.0,733600,False,UBL
2018-08-15,162.75,164.99,161.21,161.96,217800,False,UBL
2018-08-13,164.99,165.5,162.25,162.87,483600,False,UBL
2018-08-10,162.1,165.5,161.8,163.78,2527800,False,UBL
2018-08-09,165.89,165.89,160.2,161.63,604100,False,UBL
2018-08-08,163.4,166.5,163.4,163.77,1566800,False,UBL
2018-08-07,167.7,169.4,164.6,165.09,1191700,False,UBL
2018-08-06,165.5,168.5,164.5,166.98,737800,False,UBL
2018-08-03,164.0,166.0,161.51,165.24,2129300,False,UBL
2018-08-02,174.0,174.0,164.34,165.17,3742300,False,UBL
2018-08-01,176.0,176.99,171.02,172.98,856000,False,UBL
2018-07-31,183.89,183.89,175.08,175.4,1923300,False,UBL
2018-07-30,187.55,189.0,183.9,184.29,1935400,False,UBL
2018-07-27,181.6,188.0,180.01,186.03,2330100,False,UBL
2018-07-26,184.0,184.0,178.01,181.53,1876400,False,UBL
2018-07-24,175.5,179.0,172.75,176.48,1375500,False,UBL
2018-07-23,174.15,176.5,173.25,174.23,341200,False,UBL
2018-07-20,179.0,179.37,175.0,177.16,1196500,False,UBL
2018-07-19,177.0,180.0,175.12,179.1,2177800,False,UBL
2018-07-18,166.5,173.34,166.5,172.48,1476700,False,UBL
2018-07-17,164.0,166.2,161.0,165.09,365800,False,UBL
2018-07-16,165.0,166.85,159.03,164.82,2430100,False,UBL
2018-07-13,152.5,160.19,152.5,160.19,3184000,False,UBL
2018-07-12,153.0,154.0,150.65,152.57,4483700,False,UBL
2018-07-11,155.5,156.5,150.51,152.82,4058200,False,UBL
2018-07-10,153.0,159.75,148.52,155.27,3459300,False,UBL
2018-07-09,160.55,160.55,153.27,153.53,3602400,False,UBL
2018-07-06,160.5,162.5,159.99,161.33,701300,False,UBL
2018-07-05,160.3,162.45,158.61,161.05,1344700,False,UBL
2018-07-04,164.0,164.01,158.0,160.07,1517700,False,UBL
2018-07-03,167.05,167.05,164.11,164.79,553600,False,UBL
2018-07-02,170.0,170.5,166.49,167.2,437100,False,UBL
2018-06-29,169.0,170.49,168.2,168.98,942800,False,UBL
2018-06-28,170.01,171.9,167.99,169.28,993400,False,UBL
2018-06-27,170.01,174.0,167.75,170.7,1269400,False,UBL
2018-06-26,170.17,172.98,169.0,170.04,1374600,False,UBL
2018-06-25,169.0,173.0,168.0,170.17,1033400,False,UBL
2018-06-22,170.1,170.5,165.15,169.13,2969200,False,UBL
2018-06-21,174.0,174.0,168.0,168.73,1779000,False,UBL
2018-06-20,179.5,180.0,174.0,175.04,846700,False,UBL
2018-06-19,179.4,181.59,178.5,179.96,1605900,False,UBL
2018-06-14,180.0,181.85,178.0,179.86,1159300,False,UBL
2018-06-13,179.5,183.5,178.5,180.54,671300,False,UBL
2018-06-12,185.51,187.0,178.5,179.01,1668900,False,UBL
2018-06-11,182.47,187.0,182.47,185.43,2255600,False,UBL
2018-06-07,181.5,187.75,181.5,182.47,2143000,False,UBL
2018-06-06,173.49,181.83,173.3,181.67,5163200,False,UBL
2018-06-05,171.99,174.6,171.1,173.18,4286700,False,UBL
2018-06-04,169.49,173.75,167.89,171.1,2392900,False,UBL
2018-06-01,169.11,170.0,167.53,169.09,1700400,False,UBL
2018-05-31,169.4,171.0,167.06,169.12,2589500,False,UBL
2018-05-30,171.0,172.0,167.26,168.84,778000,False,UBL
2018-05-29,168.94,171.5,168.05,170.01,2247700,False,UBL
2018-05-28,172.99,173.51,167.5,169.39,1102300,False,UBL
2018-05-25,172.4,172.5,168.0,170.06,457000,False,UBL
2018-05-24,170.99,172.5,170.05,171.27,372900,False,UBL
2018-05-23,173.05,173.5,170.5,171.6,1039700,False,UBL
2018-05-22,170.15,175.0,170.0,172.76,3729300,False,UBL
2018-05-21,167.0,170.0,167.0,169.02,784400,False,UBL
2018-05-18,167.0,168.0,165.18,166.54,471800,False,UBL
2018-05-17,168.06,169.89,165.19,165.48,661600,False,UBL
2018-05-16,172.7,172.98,168.2,169.38,522700,False,UBL
2018-05-15,173.5,173.5,169.5,171.93,903900,False,UBL
2018-05-14,175.98,175.98,171.0,171.84,382800,False,UBL
2018-05-11,174.05,176.5,174.0,175.22,111600,False,UBL
2018-05-10,176.5,178.0,174.0,174.45,1167400,False,UBL
2018-05-09,178.5,179.79,173.1,175.9,913500,False,UBL
2018-05-08,182.0,182.0,179.0,180.15,906700,False,UBL
2018-05-07,186.0,186.0,180.54,181.75,568600,False,UBL
2018-05-04,193.0,193.0,184.2,186.1,1350500,False,UBL
2018-05-03,197.0,197.0,190.2,192.05,754400,False,UBL
2018-05-02,200.01,200.01,196.15,196.98,532500,False,UBL
2018-04-30,200.5,204.0,199.05,201.1,806700,False,UBL
2018-04-27,197.5,202.0,197.5,199.84,1849400,False,UBL
2018-04-26,198.0,199.7,195.99,197.01,1080400,False,UBL
2018-04-25,198.3,201.0,197.5,198.31,139100,False,UBL
2018-04-24,195.96,200.0,195.56,199.59,367200,False,UBL
2018-04-23,194.5,197.6,194.5,195.86,308200,False,UBL
2018-04-20,200.99,201.0,193.65,195.65,416900,False,UBL
2018-04-19,195.1,201.0,194.36,200.03,948600,False,UBL
2018-04-18,202.49,202.49,199.0,201.3,574800,False,UBL
2018-04-17,204.97,205.02,199.0,201.63,781200,False,UBL
2018-04-16,204.97,205.74,202.55,203.55,411800,False,UBL
2018-04-13,207.08,208.0,204.0,204.51,2546800,False,UBL
2018-04-12,206.11,208.45,205.5,208.01,363400,False,UBL
2018-04-11,210.0,212.0,205.5,206.37,1053300,False,UBL
2018-04-10,210.75,211.44,209.0,210.39,269700,False,UBL
2018-04-09,210.0,213.25,210.0,211.71,896300,False,UBL
2018-04-06,211.5,219.7,210.01,211.12,2211000,False,UBL
2018-04-05,206.8,215.4,206.0,211.43,1742100,False,UBL
2018-04-04,203.5,208.0,202.5,206.33,558900,False,UBL
2018-04-03,201.36,205.49,201.36,203.68,431200,False,UBL
2018-04-02,205.89,205.89,202.0,203.33,789800,False,UBL
2018-03-30,207.49,210.49,206.0,208.89,717000,False,UBL
2018-03-29,201.05,206.5,200.5,205.82,727800,False,UBL
2018-03-28,201.01,203.0,200.56,201.78,1727400,False,UBL
2018-03-27,201.0,203.75,199.06,202.62,622300,False,UBL
2018-03-26,195.52,203.5,195.0,201.87,698000,False,UBL
2018-03-22,196.82,198.99,195.25,198.24,740700,False,UBL
2018-03-21,195.79,199.01,194.2,196.82,1052300,False,UBL
2018-03-20,188.12,198.3,188.12,197.79,2525200,False,UBL
2018-03-19,188.5,190.2,187.0,188.86,350700,False,UBL
2018-03-16,190.77,191.01,188.0,188.93,756900,False,UBL
2018-03-15,192.2,192.5,190.12,190.77,188400,False,UBL
2018-03-14,193.02,193.97,191.75,193.15,1379600,False,UBL
2018-03-13,192.5,194.5,191.8,193.44,1027000,False,UBL
2018-03-12,188.5,193.9,188.5,192.35,1025400,False,UBL
2018-03-09,189.0,189.9,188.11,189.06,687500,False,UBL
2018-03-08,190.23,190.7,187.06,189.62,461100,False,UBL
2018-03-07,188.95,192.0,188.01,190.22,344700,False,UBL
2018-03-06,187.99,189.89,187.99,188.47,374500,False,UBL
2018-03-05,189.5,190.01,187.65,188.17,523100,False,UBL
2018-03-02,188.99,190.0,187.01,189.37,468400,False,UBL
2018-03-01,188.71,191.05,187.13,188.81,838600,False,UBL
2018-02-28,191.0,194.89,188.02,188.66,2174400,False,UBL
2018-02-27,194.0,194.0,187.11,190.71,1289400,False,UBL
